Month,Coarse wool Price,Coarse wool price % Change,Copra Price,Copra price % Change,Cotton Price,Cotton price % Change,Fine wool Price,Fine wool price % Change,Hard log Price,Hard log price % Change,Hard sawnwood Price,Hard sawnwood price % Change,Hide Price,Hide price % change,Plywood Price,Plywood price % Change,Rubber Price,Rubber price % Change,Softlog Price,Softlog price % Change,Soft sawnwood Price,Soft sawnwood price % Change,Wood pulp Price,Wood pulp price % Change
Nov-94,446.07,2.91%,464,13.45%,1.71,4.91%,881.7,6.92%,279.43,-4.16%,792.31,-1.80%,93.04,-0.67%,562.7,-0.92%,1.34,-2.19%,212.3,13.33%,286.32,0.14%,687.57,1.46%
Dec-94,426.04,-4.49%,469,1.08%,1.92,12.28%,878.41,-0.37%,247.96,-11.26%,777.81,-1.83%,91.14,-2.04%,539.99,-4.04%,1.47,9.70%,188.58,-11.17%,306.55,7.07%,674.32,-1.93%
Jan-95,447.06,4.93%,414,-11.73%,2.11,9.90%,904.18,2.93%,248.42,0.19%,793.98,2.08%,90.12,-1.12%,551.01,2.04%,1.64,11.56%,211.77,12.30%,281.66,-8.12%,690.45,2.39%
Feb-95,467.94,4.67%,412,-0.48%,2.23,5.69%,892.34,-1.31%,251.8,1.36%,753.47,-5.10%,91.42,1.44%,599.11,8.73%,1.77,7.93%,211.56,-0.10%,294.47,4.55%,731.14,5.89%
Mar-95,516.73,10.43%,412,0.00%,2.44,9.42%,887.13,-0.58%,283.1,12.43%,714.2,-5.21%,97.95,7.14%,656.48,9.58%,1.8,1.69%,226.36,7.00%,299.17,1.60%,787.17,7.66%
Apr-95,520.27,0.69%,413,0.24%,2.51,2.87%,867.85,-2.17%,300.91,6.29%,732.6,2.58%,102.32,4.46%,665.11,1.31%,1.84,2.22%,198.82,-12.17%,293.74,-1.82%,813.03,3.29%
May-95,516.49,-0.73%,410,-0.73%,2.53,0.80%,839.28,-3.29%,285.43,-5.14%,750.78,2.48%,99.61,-2.65%,635.41,-4.47%,1.72,-6.52%,204.31,2.76%,294.21,0.16%,807.5,-0.68%
Jun-95,519.41,0.57%,425,3.66%,2,-20.95%,826.06,-1.58%,274.22,-3.93%,759.1,1.11%,92.43,-7.21%,627,-1.32%,1.54,-10.47%,191.87,-6.09%,316.87,7.70%,884.45,9.53%
Jul-95,537.66,3.51%,448,5.41%,1.93,-3.50%,751.11,-9.07%,259.57,-5.34%,752.33,-0.89%,85.71,-7.27%,584.72,-6.74%,1.33,-13.64%,169.01,-11.91%,318.01,0.36%,910.54,2.95%
Aug-95,547.44,1.82%,458,2.23%,1.88,-2.59%,789.25,5.08%,235.66,-9.21%,741.7,-1.41%,82.46,-3.79%,560.56,-4.13%,1.3,-2.26%,173,2.36%,305.36,-3.98%,896.62,-1.53%
Sep-95,507.04,-7.38%,450,-1.75%,2.01,6.91%,732.98,-7.13%,221.73,-5.91%,728.71,-1.75%,82.43,-0.04%,527.43,-5.91%,1.35,3.85%,192.87,11.49%,300.18,-1.70%,892.57,-0.45%
Oct-95,495.99,-2.18%,464,3.11%,2.01,0.00%,622.07,-15.13%,233.86,5.47%,723.5,-0.71%,82.2,-0.28%,526.55,-0.17%,1.41,4.44%,176.04,-8.73%,274.59,-8.52%,966.49,8.28%
Nov-95,436.58,-11.98%,488,5.17%,1.97,-1.99%,600.95,-3.40%,230.96,-1.24%,716.06,-1.03%,77.96,-5.16%,539.65,2.49%,1.61,14.18%,186.45,5.91%,322.97,17.62%,955.88,-1.10%
Dec-95,453.11,3.79%,468,-4.10%,1.94,-1.52%,590.53,-1.73%,241.78,4.68%,715.85,-0.03%,73.05,-6.30%,540.2,0.10%,1.64,1.86%,184.01,-1.31%,306.16,-5.20%,905.6,-5.26%
Jan-96,456.77,0.81%,456,-2.56%,1.9,-2.06%,584.39,-1.04%,234.29,-3.10%,719.36,0.49%,73.56,0.70%,529.12,-2.05%,1.55,-5.49%,219.61,19.35%,297.69,-2.77%,832.32,-8.09%
Feb-96,450.38,-1.40%,475,4.17%,1.87,-1.58%,525.31,-10.11%,246.43,5.18%,713.66,-0.79%,75.13,2.13%,548.59,3.68%,1.56,0.65%,195.34,-11.05%,290.36,-2.46%,652.75,-21.57%
Mar-96,439.18,-2.49%,461,-2.95%,1.83,-2.14%,573.83,9.24%,253.01,2.67%,728.68,2.10%,77.99,3.81%,529.22,-3.53%,1.48,-5.13%,215.41,10.27%,299.45,3.13%,551.13,-15.57%
Apr-96,416.56,-5.15%,479,3.90%,1.83,0.00%,597.67,4.15%,252.48,-0.21%,751.38,3.12%,84.66,8.55%,521.11,-1.53%,1.46,-1.35%,152.68,-29.12%,307.24,2.60%,497.51,-9.73%
May-96,440.06,5.64%,503,5.01%,1.83,0.00%,743.54,24.41%,261.65,3.63%,753.11,0.23%,87.56,3.43%,535.48,2.76%,1.48,1.37%,203.38,33.21%,296.21,-3.59%,494.98,-0.51%
Jun-96,447.61,1.72%,550,9.34%,1.83,0.00%,701.36,-5.67%,255.85,-2.22%,747.91,-0.69%,82.15,-6.18%,523.62,-2.21%,1.47,-0.68%,208.97,2.75%,313.65,5.89%,505.24,2.07%
Jul-96,420.32,-6.10%,534,-2.91%,1.76,-3.83%,671.43,-4.27%,259.69,1.50%,743.97,-0.53%,89.64,9.12%,521.39,-0.43%,1.35,-8.16%,203.98,-2.39%,304.74,-2.84%,539.47,6.77%
Aug-96,417.67,-0.63%,495,-7.30%,1.68,-4.55%,751.65,11.95%,263.48,1.46%,743.43,-0.07%,96.09,7.20%,538.27,3.24%,1.3,-3.70%,213.16,4.50%,311.08,2.08%,544.85,1.00%
Sep-96,404.38,-3.18%,475,-4.04%,1.66,-1.19%,738.33,-1.77%,258.69,-1.82%,755.31,1.60%,98.91,2.93%,537.61,-0.12%,1.3,0.00%,203.12,-4.71%,336.14,8.06%,552.2,1.35%
Oct-96,416.41,2.97%,470,-1.05%,1.66,0.00%,681.61,-7.68%,252.67,-2.33%,753.33,-0.26%,101.51,2.63%,525.09,-2.33%,1.24,-4.62%,226.49,11.51%,316.82,-5.75%,622.27,12.69%
Nov-96,419.48,0.74%,471,0.21%,1.68,1.20%,616.97,-9.48%,253.21,0.21%,753.65,0.04%,89.97,-11.37%,526.22,0.22%,1.27,2.42%,218.14,-3.69%,336.25,6.13%,549.62,-11.68%
Dec-96,417.72,-0.42%,498,5.73%,1.75,4.17%,632.94,2.59%,233.76,-7.68%,726.84,-3.56%,90.69,0.80%,518.62,-1.44%,1.26,-0.79%,188.59,-13.55%,309.34,-8.00%,547.08,-0.46%
Jan-97,408.62,-2.18%,506,1.61%,1.76,0.57%,677.73,7.08%,240.56,2.91%,740.31,1.85%,90.02,-0.74%,499.93,-3.60%,1.23,-2.38%,229.64,21.77%,309.67,0.11%,546.16,-0.17%
Feb-97,442.94,8.40%,496,-1.98%,1.77,0.57%,730.96,7.85%,235.18,-2.24%,753.29,1.75%,93.49,3.85%,487.78,-2.43%,1.22,-0.81%,213.22,-7.15%,314.03,1.41%,529.41,-3.07%
Mar-97,425.82,-3.87%,489,-1.41%,1.78,0.56%,719.66,-1.55%,242.04,2.92%,756.65,0.45%,99.46,6.39%,497.39,1.97%,1.23,0.82%,207.82,-2.53%,298.16,-5.05%,506.75,-4.28%
Apr-97,451.19,5.96%,466,-4.70%,1.74,-2.25%,764.21,6.19%,240.16,-0.78%,749.82,-0.90%,98.68,-0.78%,486.03,-2.28%,1.15,-6.50%,202.2,-2.70%,270.2,-9.38%,506.08,-0.13%
May-97,467.49,3.61%,428,-8.15%,1.75,0.57%,805,5.34%,252.18,5.00%,747.56,-0.30%,89.44,-9.36%,512.65,5.48%,1.11,-3.48%,181.16,-10.41%,313.15,15.90%,527.21,4.18%
Jun-97,478.76,2.41%,415,-3.04%,1.78,1.71%,829.35,3.02%,264.32,4.81%,736.6,-1.47%,81.57,-8.80%,525.38,2.48%,1.11,0.00%,193.02,6.55%,279.22,-10.84%,549.59,4.24%
Jul-97,478.56,-0.04%,399,-3.86%,1.79,0.56%,826.26,-0.37%,254.34,-3.78%,705.7,-4.19%,80.11,-1.79%,512.34,-2.48%,0.94,-15.32%,195.72,1.40%,303.36,8.65%,572.91,4.24%
Aug-97,427.63,-10.64%,385,-3.51%,1.79,0.00%,765.93,-7.30%,244.23,-3.97%,649,-8.03%,83.9,4.73%,500.42,-2.33%,0.92,-2.13%,174.47,-10.86%,289.82,-4.46%,572.52,-0.07%
Sep-97,448.81,4.95%,403,4.68%,1.76,-1.68%,801.91,4.70%,232.74,-4.70%,587.03,-9.55%,84.54,0.76%,479.11,-4.26%,0.87,-5.43%,166.01,-4.85%,298.62,3.04%,576.34,0.67%
Oct-97,435.41,-2.99%,412,2.23%,1.71,-2.84%,769.16,-4.08%,227.39,-2.30%,534.52,-8.95%,86.35,2.14%,454.33,-5.17%,0.87,0.00%,158.19,-4.71%,278.46,-6.75%,598.45,3.84%
Nov-97,434.67,-0.17%,412,0.00%,1.7,-0.58%,739.89,-3.81%,214.79,-5.54%,516.44,-3.38%,89.18,3.28%,439.04,-3.37%,0.84,-3.45%,151.76,-4.06%,299.18,7.44%,602.39,0.66%
Dec-97,413.62,-4.84%,394,-4.37%,1.64,-3.53%,688.07,-7.00%,211.1,-1.72%,471.02,-8.79%,82.29,-7.73%,425.1,-3.18%,0.73,-13.10%,150.45,-0.86%,275.66,-7.86%,590.21,-2.02%
Jan-98,399.02,-3.53%,378,-4.06%,1.59,-3.05%,636.11,-7.55%,197.1,-6.63%,413.37,-12.24%,66.79,-18.84%,409.42,-3.69%,0.68,-6.85%,157.44,4.65%,287.3,4.22%,565.04,-4.26%
Feb-98,406.64,1.91%,371,-1.85%,1.52,-4.40%,631.72,-0.69%,202.54,2.76%,504.15,21.96%,77.62,16.22%,412.69,0.80%,0.82,20.59%,162.51,3.22%,277.7,-3.34%,519.58,-8.05%
Mar-98,384.83,-5.36%,378,1.89%,1.51,-0.66%,625.92,-0.92%,190.94,-5.73%,506.13,0.39%,82.61,6.43%,388.53,-5.85%,0.74,-9.76%,153.96,-5.26%,278.62,0.33%,497.79,-4.19%
Apr-98,379.81,-1.30%,380,0.53%,1.45,-3.97%,627.82,0.30%,166.49,-12.81%,505.98,-0.03%,83.77,1.40%,372.14,-4.22%,0.77,4.05%,165.28,7.35%,280.31,0.61%,522.07,4.88%
May-98,355.7,-6.35%,420,10.53%,1.42,-2.07%,606.13,-3.45%,146.68,-11.90%,472.69,-6.58%,85.03,1.50%,362.69,-2.54%,0.78,1.30%,155.38,-5.99%,297.55,6.15%,540.01,3.44%
Jun-98,348.24,-2.10%,414,-1.43%,1.52,7.04%,595.3,-1.79%,137.41,-6.32%,451.42,-4.50%,83.2,-2.15%,348.59,-3.89%,0.7,-10.26%,160.26,3.14%,290.69,-2.31%,559.52,3.61%
Jul-98,308.83,-11.32%,402,-2.90%,1.54,1.32%,583.14,-2.04%,134.96,-1.78%,437.6,-3.06%,81.09,-2.54%,348.53,-0.02%,0.7,0.00%,141.85,-11.49%,268.34,-7.69%,533.86,-4.59%
Aug-98,296.93,-3.85%,403,0.25%,1.5,-2.60%,500.19,-14.22%,136.94,1.47%,455.58,4.11%,81.11,0.02%,335.25,-3.81%,0.65,-7.14%,173.47,22.29%,269.07,0.27%,507.91,-4.86%
Sep-98,280.11,-5.66%,409,1.49%,1.46,-2.67%,462.89,-7.46%,150.19,9.68%,503.5,10.52%,75.39,-7.05%,349.2,4.16%,0.68,4.62%,164.56,-5.14%,276.91,2.91%,480.68,-5.36%
Oct-98,286.85,2.41%,439,7.33%,1.36,-6.85%,417.47,-9.81%,162.95,8.50%,510.49,1.39%,68.27,-9.44%,379.23,8.60%,0.73,7.35%,166.64,1.26%,265.69,-4.05%,463.12,-3.65%
Nov-98,294.93,2.82%,465,5.92%,1.24,-8.82%,472.27,13.13%,159.45,-2.15%,513.99,0.69%,67.41,-1.26%,389.78,2.78%,0.72,-1.37%,154.93,-7.03%,281.84,6.08%,457.78,-1.15%
Dec-98,294.77,-0.05%,474,1.94%,1.23,-0.81%,474.81,0.54%,163.46,2.51%,534.97,4.08%,68.03,0.92%,416.59,6.88%,0.67,-6.94%,152.94,-1.28%,283.75,0.68%,453.85,-0.86%
Jan-99,299.37,1.56%,471,-0.63%,1.23,0.00%,489.07,3.00%,176.22,7.81%,538.46,0.65%,69.15,1.65%,441.77,6.04%,0.71,5.97%,157.61,3.05%,290.99,2.55%,450.67,-0.70%
Feb-99,287.1,-4.10%,451,-4.25%,1.24,0.81%,493.14,0.83%,177.12,0.51%,538.46,0.00%,69.84,1.00%,420.02,-4.92%,0.69,-2.82%,163.2,3.55%,286.34,-1.60%,449.19,-0.33%
Mar-99,297.46,3.61%,451,0.00%,1.25,0.81%,626.64,27.07%,172.52,-2.60%,555.94,3.25%,70.76,1.32%,417.44,-0.61%,0.64,-7.25%,163.34,0.09%,300.62,4.99%,443.02,-1.37%
Apr-99,298.88,0.48%,504,11.75%,1.27,1.60%,680.43,8.58%,175.18,1.54%,566.43,1.89%,67.17,-5.07%,434.04,3.98%,0.59,-7.81%,161.84,-0.92%,285.05,-5.18%,472.47,6.65%
May-99,288.74,-3.39%,530,5.16%,1.32,3.94%,620.3,-8.84%,176.52,0.76%,580.42,2.47%,65.98,-1.77%,425.69,-1.92%,0.6,1.69%,167.4,3.44%,303.76,6.56%,494.02,4.56%
Jun-99,288.32,-0.15%,530,0.00%,1.29,-2.27%,676.74,9.10%,183.55,3.98%,608.39,4.82%,66.76,1.18%,430.1,1.04%,0.6,0.00%,161.32,-3.63%,290.64,-4.32%,508.04,2.84%
Jul-99,286.32,-0.69%,449,-15.28%,1.2,-6.98%,690.03,1.96%,186.53,1.62%,622.38,2.30%,68.08,1.98%,423.55,-1.52%,0.57,-5.00%,157.21,-2.55%,290.95,0.11%,507.44,-0.12%
Aug-99,254.34,-11.17%,431,-4.01%,1.12,-6.67%,631.04,-8.55%,198.44,6.39%,629.37,1.12%,72.36,6.29%,441.76,4.30%,0.56,-1.75%,159.37,1.37%,296.19,1.80%,511.49,0.80%
Sep-99,247.09,-2.85%,421,-2.32%,1.09,-2.68%,623.26,-1.23%,202.78,2.19%,643.36,2.22%,77.76,7.46%,455.51,3.11%,0.54,-3.57%,158.89,-0.30%,314.87,6.31%,544.56,6.47%
Oct-99,247.29,0.08%,430,2.14%,1.05,-3.67%,619.83,-0.55%,198.38,-2.17%,643.36,0.00%,80.45,3.46%,462.38,1.51%,0.65,20.37%,173.95,9.48%,323.23,2.66%,548.71,0.76%
